Brand,Model,Name,Size,Length (mm),Width (mm),Height (mm),Weight (grams),Shape,Hand compatibility,Hump placement,Front flare,Side curvature,Thumb rest,Ring finger rest,Sensor,Sensor type,Sensor position,DPI,Polling rate (Hz),Tracking speed (IPS),Acceleration (G),Side buttons,Middle buttons,Hot-swap switches,Switches,Scroll wheel encoder,Material,Connectivity,Sensor brand,Switches brand,Scroll wheel encoder brand
Pulsar,ZywOo The Chosen Mouse - Mini,Pulsar ZywOo The Chosen Mouse - Mini,Small,114.5,64.8,41.8,55.0,Ergonomic,Right,Center,Outward - moderate,Inward,No,No,XS-1,Optical,Centered (51%),32000.0,8000.0,750.0,50.0,2.0,0.0,No,Transparent Blue Shell Pink Dot,Mechanical Encoder,Plastic,Wireless,Pulsar,Huano,Unspecified
Pulsar,ZywOo The Chosen Mouse - Medium,Pulsar ZywOo The Chosen Mouse - Medium,Medium,119.4,67.5,43.5,59.0,Ergonomic,Right,Center,Outward - moderate,Inward,No,No,XS-1,Optical,Centered (51%),32000.0,8000.0,750.0,50.0,2.0,0.0,No,Transparent Blue Shell Pink Dot,Mechanical Encoder,Plastic,Wireless,Pulsar,Huano,Unspecified
WLmouse,Sword X,WLmouse Sword X,Large,123.0,67.0,42.0,47.0,Ergonomic,Right,Center,Outward - moderate,Inward,No,No,PAW3950 HS,Optical,Centered (52%),30000.0,8000.0,750.0,50.0,2.0,0.0,No,Optical TTC Nihil Transparent Black Dot,Silver,Magnesium (metal),Wireless,PixArt,Omron,TTC
Darmoshark,M3 Micro Pro,Darmoshark M3 Micro Pro,Small,105.5,54.6,33.5,42.0,Symmetrical,Right,Back - moderate,Outward - slight,Inward,No,No,PAW3950,Optical,Forward (54%),30000.0,8000.0,750.0,50.0,2.0,0.0,No,Falcon Transparent Blue Shell White Dot,Gold,Plastic,Wireless,PixArt,TTC,TTC
Incott,G23 V2 Pro,Incott G23 V2 Pro,Large,126.0,63.5,39.9,51.0,Symmetrical,Right,Center,Outward - slight,Flat,No,No,PAW3950ES-KING,Optical,Centered (53%),30000.0,8000.0,750.0,50.0,2.0,0.0,No,x Huano Purple,Gold,Plastic,Wireless,PixArt,Incott,TTC
Incott,G23 V2,Incott G23 V2,Large,126.0,63.5,39.9,47.0,Symmetrical,Right,Center,Outward - slight,Flat,No,No,PAW3395,Optical,Centered (53%),26000.0,8000.0,650.0,50.0,2.0,0.0,No,x Huano Purple,Gold,Plastic,Wireless,PixArt,Incott,TTC
Incott,G23 V2 SC,Incott G23 V2 SC,Large,126.0,63.5,39.9,46.0,Symmetrical,Right,Center,Outward - slight,Flat,No,No,PAW3395,Optical,Centered (53%),26000.0,8000.0,650.0,50.0,2.0,0.0,No,Blue Shell White Dot,Gold,Plastic,Wireless,PixArt,Huano,TTC
VGN,Y2 Ultra,VGN Y2 Ultra,Medium,119.0,63.3,39.4,41.0,Hybrid,Right,Back - moderate,Outward - moderate,Inward,No,No,PAW3950,Optical,Forward (54%),42000.0,8000.0,750.0,50.0,2.0,0.0,No,Optical VGN x Kailh Optical,Gold,Plastic,Wireless,PixArt,Omron,TTC
VGN,Y2 Pro,VGN Y2 Pro,Medium,119.0,63.3,39.4,42.0,Hybrid,Right,Back - moderate,Outward - moderate,Inward,No,No,PAW3395,Optical,Forward (54%),36000.0,8000.0,650.0,50.0,2.0,0.0,No,Transparent Green Shell White Dot,Gold,Plastic,Wireless,PixArt,Huano,TTC
G-Wolves,HTM Plus 8K,G-Wolves HTM Plus 8K,Large,127.6,63.9,37.3,33.4,Symmetrical,Right,Back - minimal,Outward - slight,Inward,No,No,PAW3950,Optical,Forward (64%),30000.0,8000.0,750.0,50.0,2.0,0.0,No,,Gold,Plastic,Wireless,PixArt,-,TTC
