Brand,Model,Name,Size,Length (mm),Width (mm),Height (mm),Weight (grams),Shape,Hand compatibility,Hump placement,Front flare,Side curvature,Thumb rest,Ring finger rest,Sensor,Sensor type,Sensor position,DPI,Polling rate (Hz),Tracking speed (IPS),Acceleration (G),Side buttons,Middle buttons,Hot-swap switches,Switches,Scroll wheel encoder,Material,Connectivity,Sensor brand,Switches brand,Scroll wheel encoder brand
Darmoshark,M3,Darmoshark M3,Large,129.6,66.1,39.2,58,Symmetrical,Right,Center,Outward - moderate,Inward,No,No,PAW3395,Optical,Centered (50%),26000,2000,650,50,2,0,No,GM 8.0,Encoder,Plastic,Wireless,PixArt,Kailh,F-Switch
A4Tech,Bloody V7,A4Tech Bloody V7,Large,125,80,39,155,Ergonomic,Right,Center,Flat,Inward,Yes,Yes,A3305,Optical,Forward (56%),3200,1000,,,2,3,No,Black Shell Blue Dot,Mechanical Encoder,Plastic,Wired,Avago,Huano,Unspecified
VAXEE,XE Wireless,VAXEE XE Wireless,Medium,124,66,38.7,76,Symmetrical,Right,Center,Outward - slight,Inward,No,No,PAW3395,Optical,Centered (53%),3200,1000,650,50,2,1,No,Black Shell Blue Dot,Encoder,Plastic,Wireless,PixArt,Huano,Alps
HyperX,Pulsefire Haste 2 Wireless,HyperX Pulsefire Haste 2 Wireless,Medium,124.2,66.8,38.2,60,Symmetrical,Right,Center,Flat,Flat,No,No,26K,Optical,Forward (54%),26000,1000,650,50,2,1,No,Switches,Silver,Plastic,Wireless,HyperX,HyperX,TTC
HyperX,Pulsefire Haste 2 Wired,HyperX Pulsefire Haste 2 Wired,Medium,124.2,66.8,38.2,52,Symmetrical,Right,Center,Flat,Flat,No,No,26K,Optical,Forward (54%),26000,8000,650,50,2,1,No,Switches,Silver,Plastic,Wired,HyperX,HyperX,TTC
Razer,Diamondback 2015,Razer Diamondback 2015,Medium,125,60,38.1,89,Symmetrical,Right,Back - minimal,Flat,Inward - aggressive,No,No,5G,Optical,Forward (56%),16000,1000,450,50,2,0,No,D2FC-F-7N,Mechanical Encoder,Plastic,Wired,Razer,Omron,Unspecified
Zowie,EC3-CW,Zowie EC3-CW,Medium,119,66,41,76,Ergonomic,Right,Center,Outward - moderate,Inward,No,No,PAW3370,Optical,Forward (54%),3200,1000,400,50,2,0,No,Black Shell Blue Dot,Optical (24 steps),Plastic,Wireless,PixArt,Huano,Zowie
Zowie,EC2-CW,Zowie EC2-CW,Medium,123,65,42,77,Ergonomic,Right,Center,Outward - moderate,Inward,No,No,PAW3370,Optical,Centered (53%),3200,1000,400,50,2,0,No,Black Shell Blue Dot,Optical (24 steps),Plastic,Wireless,PixArt,Huano,Zowie
Zowie,EC1-CW,Zowie EC1-CW,Large,130,69,42,79,Ergonomic,Right,Center,Outward - moderate,Inward,No,No,PAW3370,Optical,Forward (55%),3200,1000,400,50,2,0,No,Black Shell Blue Dot,Optical (24 steps),Plastic,Wireless,PixArt,Huano,Zowie
Razer,Basilisk V2,Razer Basilisk V2,Large,130,75,42,92,Ergonomic,Right,Back - minimal,Flat,Flat,Yes,No,Focus+,Optical,Backward (46%),20000,1000,650,50,3,2,No,Optical Mouse Switches,,Plastic,Wired,Razer,Razer,-
Razer,Krait 2013,Razer Krait 2013,Small,116,52,36,85,Symmetrical,Ambidextrous,Back - minimal,Outward - moderate,Inward - aggressive,No,No,4G,Optical,Backward (45%),6400,1000,200,50,0,0,No,D2FC-F-7N(20M),Mechanical Encoder,Plastic,Wired,Razer,Omron,Unspecified
